idVia;nombreOriginal;numeroExpediente;fecha;hora;nombreVia;portal;distrito;tipoAccidente;meteorologia;tipoVehiculo;tipoPersonaAfectada;typicalAgeRange;gender;lesividad;esCruce;tipoVia;palabrasClave;municipio
2683;CALL. SAN ENRIQUE DE OSSO;2019S004939;21/01/2019;16:50; CALLE SAN ENRIQUE DE OSSO;36;HORTALEZA;Colisión fronto-lateral;Despejado;Bicicleta;Conductor;10-14;Male;02;0;Calle;SAN ENRIQUE OSSO;Madrid
18600;AVDA. ALBUFERA;2019S005062;23/01/2019;15:38; AVENIDA ALBUFERA;149;PUENTE DE VALLECAS;Colisión fronto-lateral;Despejado;Bicicleta;Conductor;65-69;Male;14;0;Avenida;ALBUFERA;Madrid
18600;AVDA. ALBUFERA / CALL. PUERTO DE CANFRANC;2019S007634;24/01/2019;19:58;AVENIDA ALBUFERA;-;PUENTE DE VALLECAS;Otro;Despejado;Bicicleta;Conductor;30-34;Male;14;2;Avenida;ALBUFERA;Madrid
616200;AVDA. ALBUFERA / CALL. PUERTO DE CANFRANC;2019S007634;24/01/2019;19:58;CALLE PUERTO DE CANFRANC;-;PUENTE DE VALLECAS;Otro;Despejado;Bicicleta;Conductor;30-34;Male;14;2;Calle;PUERTO CANFRANC;Madrid
114600;CALL. BRAVO MURILLO / CALL. PENSAMIENTO;2019S005036;24/01/2019;11:15;CALLE BRAVO MURILLO;-;TETUÁN;Atropello a persona;Despejado;Bicicleta;Conductor;55-59;Male;14;2;Calle;BRAVO MURILLO;Madrid
576800;CALL. BRAVO MURILLO / CALL. PENSAMIENTO;2019S005036;24/01/2019;11:15;CALLE PENSAMIENTO;-;TETUÁN;Atropello a persona;Despejado;Bicicleta;Conductor;55-59;Male;14;2;Calle;PENSAMIENTO;Madrid
114600;CALL. BRAVO MURILLO / CALL. PENSAMIENTO;2019S005036;24/01/2019;11:15;CALLE BRAVO MURILLO;-;TETUÁN;Atropello a persona;Despejado;Bicicleta;Peatón;55-59;Female;07;2;Calle;BRAVO MURILLO;Madrid
576800;CALL. BRAVO MURILLO / CALL. PENSAMIENTO;2019S005036;24/01/2019;11:15;CALLE PENSAMIENTO;-;TETUÁN;Atropello a persona;Despejado;Bicicleta;Peatón;55-59;Female;07;2;Calle;PENSAMIENTO;Madrid
27400;CALLE ALFONSO XI , CALLE ALCALA;2019S005992;25/01/2019;9:12;CALLE ALFONSO XI;-;RETIRO;Colisión fronto-lateral;Despejado;Bicicleta;Conductor;35-39;Male;07;2;Calle;ALFONSO XI;Madrid
18900;CALLE ALFONSO XI , CALLE ALCALA;2019S005992;25/01/2019;9:12;CALLE ALCALA;-;RETIRO;Colisión fronto-lateral;Despejado;Bicicleta;Conductor;35-39;Male;07;2;Calle;ALCALA;Madrid
342950;CALL. GRAN VIA;2019S010907;25/01/2019;4:00; CALLE GRAN VIA;78;CENTRO;Colisión fronto-lateral;Se desconoce;Bicicleta;Conductor;21-24;Male;05;0;Calle;GRAN VIA;Madrid
477300;CALL. MARIA DE MOLINA;2019S006032;26/01/2019;21:35; CALLE MARIA DE MOLINA;60;SALAMANCA;Alcance;Despejado;Bicicleta;Conductor;25-29;Male;07;0;Calle;MARIA MOLINA;Madrid
18900;CALL. ALCALA;2019S006501;27/01/2019;16:15; CALLE ALCALA;44;CENTRO;Atropello a persona;Despejado;Bicicleta;Conductor;25-29;Male;02;0;Calle;ALCALA;Madrid
18900;CALL. ALCALA;2019S006501;27/01/2019;16:15; CALLE ALCALA;44;CENTRO;Atropello a persona;Despejado;Bicicleta;Peatón;25-29;Female;14;0;Calle;ALCALA;Madrid
501700;CALL. MENDEZ ALVARO / CALL. TITAN;2019S006478;28/01/2019;18:00;CALLE MENDEZ ALVARO;-;ARGANZUELA;Caída;Despejado;Bicicleta;Conductor;55-59;Male;14;2;Calle;MENDEZ ALVARO;Madrid
31000407;CALL. MENDEZ ALVARO / CALL. TITAN;2019S006478;28/01/2019;18:00;CALLE TITAN;-;ARGANZUELA;Caída;Despejado;Bicicleta;Conductor;55-59;Male;14;2;Calle;TITAN;Madrid
633005;PASEO. RECOLETOS;2019S013729;29/01/2019;16:26; PASEO RECOLETOS;23;CENTRO;Caída;Lluvia débil;Bicicleta;Conductor;45-49;Male;02;0;Paseo;RECOLETOS;Madrid
329600;AVDA. CARABANCHEL ALTO;2019S006655;30/01/2019;13:20; AVENIDA CARABANCHEL ALTO;122;CARABANCHEL;Colisión frontal;Despejado;Bicicleta;Conductor;10-14;Female;01;0;Avenida;CARABANCHEL ALTO;Madrid
745300;CALL. TOMASA RUIZ;2019S006649;30/01/2019;11:41; CALLE TOMASA RUIZ;1;CARABANCHEL;Choque contra obstáculo fijo;Despejado;Bicicleta;Conductor;30-34;Male;;0;Calle;TOMASA RUIZ;Madrid
241300;CALL. DOCTOR ESQUERDO / CALL. DOCTOR ESQUERDO;2019S007855;01/02/2019;13:30;CALLE DOCTOR ESQUERDO;-;RETIRO;Alcance;Despejado;Bicicleta;Conductor;35-39;Female;07;2;Calle;DOCTOR ESQUERDO;Madrid
241300;CALL. DOCTOR ESQUERDO / CALL. DOCTOR ESQUERDO;2019S007855;01/02/2019;13:30;CALLE DOCTOR ESQUERDO;-;RETIRO;Alcance;Despejado;Bicicleta;Conductor;35-39;Female;07;2;Calle;DOCTOR ESQUERDO;Madrid
694525;CALL. SANTA ENGRACIA / CALL. RIOS ROSAS;2019S008460;01/02/2019;1:40;CALLE SANTA ENGRACIA;-;CHAMBERÍ;Colisión fronto-lateral;Lluvia débil;Bicicleta;Conductor;21-24;Male;07;2;Calle;SANTA ENGRACIA;Madrid
642000;CALL. SANTA ENGRACIA / CALL. RIOS ROSAS;2019S008460;01/02/2019;1:40;CALLE RIOS ROSAS;-;CHAMBERÍ;Colisión fronto-lateral;Lluvia débil;Bicicleta;Conductor;21-24;Male;07;2;Calle;RIOS ROSAS;Madrid
309900;CALL. FRANCISCO SANTOS / CALL. MARTINEZ IZQUIERDO;2019S007891;01/02/2019;0:15;CALLE FRANCISCO SANTOS;-;SALAMANCA;Colisión fronto-lateral;Lluvia débil;Bicicleta;Conductor;45-49;Male;07;2;Calle;FRANCISCO SANTOS;Madrid
491000;CALL. FRANCISCO SANTOS / CALL. MARTINEZ IZQUIERDO;2019S007891;01/02/2019;0:15;CALLE MARTINEZ IZQUIERDO;-;SALAMANCA;Colisión fronto-lateral;Lluvia débil;Bicicleta;Conductor;45-49;Male;07;2;Calle;MARTINEZ IZQUIERDO;Madrid
491500;CALL. MARTINEZ DE LA RIVA;2019S010276;02/02/2019;11:30; CALLE MARTINEZ DE LA RIVA;4;PUENTE DE VALLECAS;Colisión lateral;Despejado;Bicicleta;Conductor;40-44;Male;;0;Calle;MARTINEZ RIVA;Madrid
