nombreOriginal;Nº  EXPEDIENTE;FECHA;HORA;CALLE;NÚMERO;DISTRITO;TIPO ACCIDENTE;ESTADO METEREOLÓGICO;TIPO VEHÍCULO;TIPO PERSONA;RANGO EDAD;SEXO;LESIVIDAD*;esCruce;tipoVia
CALL. GRAN VIA / CALL. ALCALA;2019S009150;06/02/2019;16:40;CALLE GRAN VIA;-;CENTRO;Caída;Despejado;Bicicleta;Conductor;DE 35 A 39 AÑOS;Hombre;05;2;Calle
CALL. GRAN VIA / CALL. ALCALA;2019S009150;06/02/2019;16:40;CALLE ALCALA;-;CENTRO;Caída;Despejado;Bicicleta;Conductor;DE 35 A 39 AÑOS;Hombre;05;2;Calle
CALL. JUAN BRAVO;2019S008489;06/02/2019;10:25; CALLE JUAN BRAVO;17;SALAMANCA;Colisión frontal;Despejado;Bicicleta;Conductor;DE 50 A 54 AÑOS;Hombre;02;0;Calle
AVDA. LLANO CASTELLANO / AVDA. CARDENAL HERRERA ORIA;2019S008448;06/02/2019;8:05;AVENIDA LLANO CASTELLANO;-;FUENCARRAL-EL PARDO;Atropello a persona;Despejado;Bicicleta;Conductor;DE 45 A 49 AÑOS;Hombre;02;2;Avenida
AVDA. LLANO CASTELLANO / AVDA. CARDENAL HERRERA ORIA;2019S008448;06/02/2019;8:05;AVENIDA CARDENAL HERRERA ORIA;-;FUENCARRAL-EL PARDO;Atropello a persona;Despejado;Bicicleta;Conductor;DE 45 A 49 AÑOS;Hombre;02;2;Avenida
AVDA. LLANO CASTELLANO / AVDA. CARDENAL HERRERA ORIA;2019S008448;06/02/2019;8:05;AVENIDA LLANO CASTELLANO;-;FUENCARRAL-EL PARDO;Atropello a persona;Despejado;Bicicleta;Peatón;DE 15 A 17 AÑOS;Mujer;07;2;Avenida
AVDA. LLANO CASTELLANO / AVDA. CARDENAL HERRERA ORIA;2019S008448;06/02/2019;8:05;AVENIDA CARDENAL HERRERA ORIA;-;FUENCARRAL-EL PARDO;Atropello a persona;Despejado;Bicicleta;Peatón;DE 15 A 17 AÑOS;Mujer;07;2;Avenida
CALL. PRINCIPE DE VERGARA / GTA. LOPEZ DE HOYOS;2019S009106;07/02/2019;18:50;CALLE PRINCIPE DE VERGARA;-;CHAMARTÍN;Caída;Despejado;Bicicleta;Conductor;DE 35 A 39 AÑOS;Mujer;06;2;Calle
CALL. PRINCIPE DE VERGARA / GTA. LOPEZ DE HOYOS;2019S009106;07/02/2019;18:50;GLORIETA LOPEZ DE HOYOS;-;CHAMARTÍN;Caída;Despejado;Bicicleta;Conductor;DE 35 A 39 AÑOS;Mujer;06;2;Glorieta
CALL. VALLEHERMOSO / CALL. FERNANDEZ DE LOS RIOS;2019S009136;07/02/2019;16:10;CALLE VALLEHERMOSO;-;CHAMBERÍ;Alcance;;Bicicleta;Conductor;DE 30 A 34 AÑOS;Hombre;;2;Calle
CALL. VALLEHERMOSO / CALL. FERNANDEZ DE LOS RIOS;2019S009136;07/02/2019;16:10;CALLE FERNANDEZ DE LOS RIOS;-;CHAMBERÍ;Alcance;;Bicicleta;Conductor;DE 30 A 34 AÑOS;Hombre;;2;Calle
CALL. PRADILLO;2019S009001;07/02/2019;9:15; CALLE PRADILLO;42;CHAMARTÍN;Choque contra obstáculo fijo;Despejado;Bicicleta;Conductor;DE 35 A 39 AÑOS;Hombre;07;0;Calle
CALL. ALCALA;2019S009731;08/02/2019;22:30; CALLE ALCALA;13;CENTRO;Caída;Se desconoce;Bicicleta;Conductor;DE 50 A 54 AÑOS;Mujer;07;0;Calle
CALL. MESON DE PAREDES / CALL. JUANELO;2019S009806;08/02/2019;21:40;CALLE MESON DE PAREDES;-;CENTRO;Colisión fronto-lateral;Despejado;Bicicleta;Conductor;DE 25 A 29 AÑOS;Hombre;07;2;Calle
CALL. MESON DE PAREDES / CALL. JUANELO;2019S009806;08/02/2019;21:40;CALLE JUANELO;-;CENTRO;Colisión fronto-lateral;Despejado;Bicicleta;Conductor;DE 25 A 29 AÑOS;Hombre;07;2;Calle
PASEO. REINA CRISTINA / CALL. ANDRES TORREJON;2019S009733;10/02/2019;16:05;PASEO REINA CRISTINA;-;RETIRO;Colisión fronto-lateral;;Bicicleta;Conductor;DE 21 A 24 AÑOS;Hombre;;2;Paseo
PASEO. REINA CRISTINA / CALL. ANDRES TORREJON;2019S009733;10/02/2019;16:05;CALLE ANDRES TORREJON;-;RETIRO;Colisión fronto-lateral;;Bicicleta;Conductor;DE 21 A 24 AÑOS;Hombre;;2;Calle
CALL. PRINCIPE DE VERGARA;2019S009715;10/02/2019;13:45; CALLE PRINCIPE DE VERGARA;219;CHAMARTÍN;Colisión lateral;Despejado;Bicicleta;Conductor;DE 21 A 24 AÑOS;Hombre;07;0;Calle
CALL. SERRANO;2019S009957;11/02/2019;16:13; CALLE SERRANO;8;SALAMANCA;Alcance;Despejado;Bicicleta;Conductor;DE 35 A 39 AÑOS;Hombre;07;0;Calle
CALL. ALCALA;2019S009942;11/02/2019;14:15; CALLE ALCALA;101;SALAMANCA;Alcance;Despejado;Bicicleta;Conductor;DE 25 A 29 AÑOS;Hombre;01;0;Calle
CALL. MIGUEL ANGEL;2019S010289;11/02/2019;9:15; CALLE MIGUEL ANGEL;29;CHAMBERÍ;Colisión fronto-lateral;Despejado;Bicicleta;Conductor;DE 25 A 29 AÑOS;Hombre;06;0;Calle
PASEO. PRADO;2019S010293;12/02/2019;22:00; PASEO PRADO;2;CENTRO;Alcance;Despejado;Bicicleta;Conductor;DE 25 A 29 AÑOS;Hombre;02;0;Paseo
