nombreOriginal;CAPA;TX_NOMBRE;MaxSimpTol;MinSimpTol;FECHA;Longitud;tipoVia;palabrasClave;idVia
Granada;CICLOCALLES; GRANADA;701,76168596300;0,20000000000;20140801;0,70176168596;;GRANADA;343000
Atocha;CICLOCALLES; ATOCHA;315,50262046900;0,20000000000;20140801;0,31550262047;;ATOCHA;81600
Atocha;CICLOCALLES; ATOCHA;670,55119080900;0,20000000000;20140801;0,67055119081;;ATOCHA;81600
Vallehermoso;CICLOCALLES; VALLEHERMOSO;959,46535179500;0,20000000000;20140801;0,95946535180;Valle;VALLEHERMOSO;768800
Paseo Castellana;CICLOCALLES; PASEO CASTELLANA;0,00000000000;0,00000000000;20141125;3,46432681359;Paseo;CASTELLANA;153500
Paseo Castellana;CICLOCALLES; PASEO CASTELLANA;0,00000000000;0,00000000000;20141125;3,42607134154;Paseo;CASTELLANA;153500
PrÝncipe de Vergara;CICLOCALLES; PRÍNCIPE DE VERGARA;0,00000000000;0,00000000000;20141125;3,16317772325;;PRÍNCIPE VERGARA;610450
Serrano;CICLOCALLES; SERRANO;0,00000000000;0,00000000000;20141125;0,82941748343;;SERRANO;710300
Serrano;CICLOCALLES; SERRANO;0,00000000000;0,00000000000;20141125;1,33138079977;;SERRANO;710300
Joaquin Costa;CICLOCALLES; JOAQUIN COSTA;0,00000000000;0,00000000000;20141125;1,22190905932;;JOAQUIN COSTA;395300
Vallehermoso;CICLOCALLES; VALLEHERMOSO;0,00000000000;0,00000000000;20141125;0,21780941714;Valle;VALLEHERMOSO;768800
Santander;CICLOCALLES; SANTANDER;0,00000000000;0,00000000000;20141125;0,40219189706;;SANTANDER;699700
Gral Iba±ez de Ibero;CICLOCALLES; GENERAL IBAÑEZ DE IBERO;0,00000000000;0,00000000000;20141125;0,34144629439;;GENERAL IBAÑEZ IBERO;330200
Guzman el Bueno;CICLOCALLES; GUZMAN EL BUENO;0,00000000000;0,00000000000;20141125;0,82257319846;;GUZMAN BUENO;352700
Bravo Murillo;CICLOCALLES; BRAVO MURILLO;0,00000000000;0,00000000000;20141125;2,59589728392;;BRAVO MURILLO;114600
San Bernardino Sahag·n;CICLOCALLES; SAN BERNARDINO SAHAGÚN;0,00000000000;0,00000000000;20141125;0,48613238954;;SAN BERNARDINO SAHAGÚN;311500
Mateo Inurria;CICLOCALLES; MATEO INURRIA;0,00000000000;0,00000000000;20141125;0,23584240332;;MATEO INURRIA;494900
Mateo Inurria;CICLOCALLES; MATEO INURRIA;0,00000000000;0,00000000000;20141125;1,01310223940;;MATEO INURRIA;494900
PlaterÝas;CICLOCALLES; PLATERÍAS;0,00000000000;0,00000000000;20141125;0,18575863221;;PLATERÍAS;599100
San Bernardo;CICLOCALLES; SAN BERNARDO;0,00000000000;0,00000000000;20141125;0,45249128906;;SAN BERNARDO;661700
Donoso Cortés;CICLOCALLES; DONOSO CORTÉS;0,00000000000;0,00000000000;20141125;1,16266127439;;DONOSO CORTÉS;249300
Fernßndez de los Rios;CICLOCALLES; FERNÁNDEZ DE LOS RIOS;0,00000000000;0,00000000000;20141125;1,19140461089;;FERNÁNDEZ RIOS;293500
Bravo Murillo;CICLOCALLES; BRAVO MURILLO;0,00000000000;0,00000000000;20141125;0,26226692450;;BRAVO MURILLO;114600
Gral Martinez Campos;CICLOCALLES; GENERAL MARTINEZ CAMPOS;0,00000000000;0,00000000000;20141125;1,27625039513;;GENERAL MARTINEZ CAMPOS;331100
Bravo Murillo;CICLOCALLES; BRAVO MURILLO;0,00000000000;0,00000000000;20141125;1,18976997050;;BRAVO MURILLO;114600
Sta Engracia;CICLOCALLES; SANTA ENGRACIA;0,00000000000;0,00000000000;20141125;1,68880563998;;SANTA ENGRACIA;694525
Gral ?lvarez de Castro;CICLOCALLES; GENERAL ÁLVAREZ DE CASTRO;0,00000000000;0,00000000000;20141125;0,36932395427;;GENERAL ÁLVAREZ CASTRO;328400
Modesto Lafuente;CICLOCALLES; MODESTO LAFUENTE;0,00000000000;0,00000000000;20141125;1,27579241268;;MODESTO LAFUENTE;512200
Alonso Cano;CICLOCALLES; ALONSO CANO;0,00000000000;0,00000000000;20141125;1,27794176107;;ALONSO CANO;34700
