nombreOriginal;CAPA;TX_NOMBRE;MaxSimpTol;MinSimpTol;FECHA;Longitud
Infanta Mercedes;CICLOCALLES;Infanta Mercedes;0,00000000000;0,00000000000;20141125;0,06996418216
Padre Damißn;CICLOCALLES;Padre Damißn;0,00000000000;0,00000000000;20141125;1,24401684310
Comandante Zorita;CICLOCALLES;Comandante Zorita;0,00000000000;0,00000000000;20141125;0,64602087971
Diego de Le¾n;CICLOCALLES;Diego de Le¾n;0,00000000000;0,00000000000;20141125;0,98939893238
Costa Rica;CICLOCALLES;Costa Rica;0,00000000000;0,00000000000;20141125;0,68480237029
Costa Rica;CICLOCALLES;Costa Rica;0,00000000000;0,00000000000;20141125;0,70239551544
Ram¾n y Cajal;CICLOCALLES;Ram¾n y Cajal;0,00000000000;0,00000000000;20141125;0,84715863916
Bruselas;CICLOCALLES;Bruselas;0,00000000000;0,00000000000;20141125;0,24385775385
Francisco Santos;CICLOCALLES;Francisco Santos;0,00000000000;0,00000000000;20141125;0,06438666176
Coraz¾n de MarÝa;CICLOCALLES;Coraz¾n de MarÝa;0,00000000000;0,00000000000;20141125;0,48972349996
Reina Victoria;CICLOCALLES;Reina Victoria;0,00000000000;0,00000000000;20141125;0,95261818321
Raimundo Fernandez Villaverde;CICLOCALLES;Raimundo Fernandez Villaverde;0,00000000000;0,00000000000;20141125;1,08628203597
Gral L¾pez Pozas;CICLOCALLES;Gral L¾pez Pozas;0,00000000000;0,00000000000;20141125;0,42560529795
Alfonso XIII;CICLOCALLES;Alfonso XIII;0,00000000000;0,00000000000;20141125;0,34702471083
Alfonso XIII;CICLOCALLES;Alfonso XIII;0,00000000000;0,00000000000;20141125;1,05411173788
