nombreOriginal;OBJECTID;ID_EJE;ID_GRUPO;ID_TIPO;TX_CAPA;NU_DIRECCI;NU_DOBLE_S;TX_NOMBRE;TX_NOMBRE_;Shape_Leng
Parque Cu±a Verde de Latina;56;53;39;1;CICLOCALLES;-1;0;Parque Cu±a Verde de Latina;CUÐA VERDE;650,22772097600
Calle del Profesor JosÚ GarcÝa Santesmases;57;54;40;1;CICLOCALLES;0;1;Calle del Profesor JosÚ GarcÝa Santesmases;PROFESOR JOSE GARCIA SANTESMASES;169,11691927900
Calle de Zurbano;58;55;41;1;CICLOCALLES;1;0;Calle de Zurbano;ZURBANO;1610,01889177000
Calle de Fernßndez de la Hoz;59;56;42;1;CICLOCALLES;1;0;Calle de Fernßndez de la Hoz;FERNANDEZ DE LA HOZ;1290,36829708000
Paseo de los Olivos;60;57;43;1;CICLOCALLES;1;0;Paseo de los Olivos;OLIVOS;638,95418502200
Calle de Eugenia de Montijo;61;58;44;1;CICLOCALLES;-1;0;Calle de Eugenia de Montijo;EUGENIA DE MONTIJO;252,66475436100
Calle de Cebreros;62;59;45;1;CICLOCALLES;1;0;Calle de Cebreros;CEBREROS;249,63208123000
Parque Cu±a Verde de Latina;63;60;46;1;CICLOCALLES;-1;0;Parque Cu±a Verde de Latina;CUÐA VERDE;221,70297435900
Calle del Arroyo de las Pavas;64;61;47;1;CICLOCALLES;-1;0;Calle del Arroyo de las Pavas;ARROYO DE PAVAS;94,92436254530
Calle del El Toboso;65;62;47;1;CICLOCALLES;1;0;Calle del El Toboso;TOBOSO;1242,92039805000
Calle Principal de Provincias;66;63;48;1;CICLOCALLES;-1;0;Calle Principal de Provincias;PRINCIPAL DE PROVINCIAS;608,32427009600
Calle de JoaquÝn Lorenzo;67;64;49;1;CICLOCALLES;0;1;Calle de JoaquÝn Lorenzo;JOAQUIN LORENZO;1163,36048661000
Calle del General ?lvarez de Castro;68;65;51;1;CICLOCALLES;-1;0;Calle del General ?lvarez de Castro;GENERAL ALVAREZ DE CASTRO;132,65856514000
Calle de Trafalgar;69;66;51;1;CICLOCALLES;-1;0;Calle de Trafalgar;TRAFALGAR;124,46809932400
Calle de los Estudiantes;72;69;53;1;CICLOCALLES;-1;0;Calle de los Estudiantes;ESTUDIANTES;79,42414446950
Calle de AndrÚs Mellado;74;71;54;1;CICLOCALLES;-1;0;Calle de AndrÚs Mellado;ANDRES MELLADO;1248,75410383000
Avenida de SÚneca;75;72;55;1;CICLOCALLES;-1;0;Avenida de SÚneca;SENECA;231,99382020500
Calle de la Senda del Rey;76;73;56;1;CICLOCALLES;1;0;Calle de la Senda del Rey;SENDA DEL REY;137,23816872000
Calle del Arzobispo Morcillo;77;74;57;1;CICLOCALLES;0;1;Calle del Arzobispo Morcillo;ARZOBISPO MORCILLO;976,58267871200
Calle de Balsaminas;78;75;58;1;CICLOCALLES;1;0;Calle de Balsaminas;BALSAMINAS;60,65090043560
Calle del Conde de Vallellano;79;76;58;1;CICLOCALLES;1;0;Calle del Conde de Vallellano;CONDE DE VALLELLANO;142,87536357900
Calle de Gonzalo Sandino;80;77;58;1;CICLOCALLES;1;0;Calle de Gonzalo Sandino;GONZALO SANDINO;66,62109128310
Calle de Vi±egra;81;78;59;2;PEATONAL;0;0;Calle de Vi±egra;VIÐEGRA;221,14957446200
Calle de Muntadas;82;79;60;1;CICLOCALLES;-1;0;Calle de Muntadas;MUNTADAS;304,64218473200
Calle de Cebreros;83;80;61;1;CICLOCALLES;0;1;Calle de Cebreros;CEBREROS;848,72269775200
Calle del General Romero Basart;84;81;62;1;CICLOCALLES;0;1;Calle del General Romero Basart;GENERAL ROMERO BASART;318,71261020900
Calle de JosÚ de Cadalso;85;82;63;1;CICLOCALLES;-1;0;Calle de JosÚ de Cadalso;JOSE DE CADALSO;471,57399034800
Calle de Rafael Finat;86;83;64;1;CICLOCALLES;0;1;Calle de Rafael Finat;RAFAEL FINAT;139,86985792700
Calle de JosÚ de Cadalso;87;84;65;1;CICLOCALLES;0;1;Calle de JosÚ de Cadalso;JOSE DE CADALSO;417,36830947200
Calle de Rafael Finat;88;85;66;1;CICLOCALLES;0;1;Calle de Rafael Finat;RAFAEL FINAT;264,36193172100
Calle de la Duquesa de Parcent;89;86;68;2;PEATONAL;0;0;Calle de la Duquesa de Parcent;DUQUESA DE PARCENT;256,57144771700
Paseo de Mu±oz Grandes;90;87;69;1;CICLOCALLES;-1;0;Paseo de Mu±oz Grandes;MUÐOZ GRANDES;132,33082378800
Calle de Camarena;91;88;70;1;CICLOCALLES;0;1;Calle de Camarena;CAMARENA;536,51907071600
Calle del General Romero Basart;92;89;71;1;CICLOCALLES;0;1;Calle del General Romero Basart;GENERAL ROMERO BASART;585,75350162700
Calle de Camarena;93;90;72;1;CICLOCALLES;0;1;Calle de Camarena;CAMARENA;854,64724863500
Calle de la Vidauba;94;91;73;2;PEATONAL;0;0;Calle de la Vidauba;VIDAUBA;102,14378503500
Calle de la Vidauba;95;92;75;2;PEATONAL;0;0;Calle de la Vidauba;VIDAUBA;66,25108499300
Calle de Mascaraque;96;93;76;1;CICLOCALLES;1;0;Calle de Mascaraque;MASCARAQUE;368,51270077600
Calle de Consuelo Guzmßn;97;94;77;1;CICLOCALLES;0;1;Calle de Consuelo Guzmßn;CONSUELO GUZMAN;114,26601104800
Avenida de los Poblados;98;95;78;2;PEATONAL;0;0;Avenida de los Poblados;POBLADOS;92,35563191920
Calle de Tembleque;99;96;79;2;PEATONAL;0;0;Calle de Tembleque;TEMBLEQUE;134,78406249700
Calle de Tembleque;100;97;80;1;CICLOCALLES;0;1;Calle de Tembleque;TEMBLEQUE;361,49828117000
Avenida de los Poblados;101;98;81;2;PEATONAL;0;0;Avenida de los Poblados;POBLADOS;102,42525622700
Calle de Tembleque;102;99;82;2;PEATONAL;0;0;Calle de Tembleque;TEMBLEQUE;102,78872290600
Avenida del Padre Piquer;103;100;83;1;CICLOCALLES;1;0;Avenida del Padre Piquer;PADRE PIQUER;193,19452910000
Avenida del Padre Piquer;104;101;84;1;CICLOCALLES;1;0;Avenida del Padre Piquer;PADRE PIQUER;234,59906961700
Calle de Tembleque;105;102;85;1;CICLOCALLES;0;1;Calle de Tembleque;TEMBLEQUE;98,73517913990
Calle de Illescas;106;103;86;1;CICLOCALLES;-1;0;Calle de Illescas;ILLESCAS;425,81345347900
Calle de Tembleque;107;104;87;1;CICLOCALLES;1;0;Calle de Tembleque;TEMBLEQUE;82,23900023080
Calle de Tembleque;108;105;88;1;CICLOCALLES;1;0;Calle de Tembleque;TEMBLEQUE;396,65365789400
Calle de la Virgen del Sagrario;109;106;89;2;PEATONAL;0;0;Calle de la Virgen del Sagrario;VIRGEN DEL SAGRARIO;178,18242242500
Calle de Monse±or Oscar Romero;110;107;90;1;CICLOCALLES;1;0;Calle de Monse±or Oscar Romero;MONSEÐOR ROMERO;310,74124472900
Calle del Padre Amig¾;111;108;91;1;CICLOCALLES;0;1;Calle del Padre Amig¾;PADRE AMIGO;351,44704706900
Avenida de Nuestra Se±ora de Fßtima;112;109;92;1;CICLOCALLES;1;0;Avenida de Nuestra Se±ora de Fßtima;NUESTRA SEÐORA DE FATIMA;157,82985893100
Calle de Monse±or Oscar Romero;113;110;93;1;CICLOCALLES;0;1;Calle de Monse±or Oscar Romero;MONSEÐOR ROMERO;316,55248649700
Calle de la Batalla de Torrijos;114;111;94;1;CICLOCALLES;-1;0;Calle de la Batalla de Torrijos;BATALLA DE TORRIJOS;168,41207748100
Calle de Francisco Romero;115;112;94;1;CICLOCALLES;-1;0;Calle de Francisco Romero;FRANCISCO ROMERO;120,02108845700
Calle de Antonio Antoranz;116;113;95;1;CICLOCALLES;-1;0;Calle de Antonio Antoranz;ANTONIO ANTORANZ;199,19503164000
Calle del Blas¾n;117;114;96;1;CICLOCALLES;-1;0;Calle del Blas¾n;BLASON;359,94282786600
Plaza de Carabanchel;118;115;96;1;CICLOCALLES;-1;0;Plaza de Carabanchel;CARABANCHEL;115,41342371600
Calle de la Sombra;119;116;97;1;CICLOCALLES;-1;0;Calle de la Sombra;SOMBRA;96,95473449230
Calle de Monse±or Oscar Romero;120;117;99;2;PEATONAL;0;0;Calle de Monse±or Oscar Romero;MONSEÐOR ROMERO;57,58996424580
Calle de la Alhambra;121;118;100;2;PEATONAL;0;0;Calle de la Alhambra;ALAMBRA;179,18298474100
Paseo de la Puerta del Batßn;122;119;101;1;CICLOCALLES;0;1;Paseo de la Puerta del Batßn;PUERTA DEL BATAN;498,51908289400
Calle de Alverja;123;120;102;1;CICLOCALLES;0;1;Calle de Alverja;ALVERJA;130,91042350100
Calle de Sep·lveda;124;121;103;1;CICLOCALLES;1;0;Calle de Sep·lveda;SEPULVEDA;249,27192173800
