nombreOriginal;OBJECTID;ID_EJE;ID_GRUPO;ID_TIPO;TX_CAPA;NU_DIRECCI;NU_DOBLE_S;TX_NOMBRE;TX_NOMBRE_;Shape_Leng;tipoVia
Avenida del Padre Piquer;104;101;84;1;CICLOCALLES;1;0; AVENIDA DEL PADRE PIQUER;PADRE PIQUER;234,59906961700;Avenida
Calle de Tembleque;105;102;85;1;CICLOCALLES;0;1; CALLE DE TEMBLEQUE;TEMBLEQUE;98,73517913990;Calle
Calle de Illescas;106;103;86;1;CICLOCALLES;-1;0; CALLE DE ILLESCAS;ILLESCAS;425,81345347900;Calle
Calle de Tembleque;107;104;87;1;CICLOCALLES;1;0; CALLE DE TEMBLEQUE;TEMBLEQUE;82,23900023080;Calle
Calle de Tembleque;108;105;88;1;CICLOCALLES;1;0; CALLE DE TEMBLEQUE;TEMBLEQUE;396,65365789400;Calle
Calle de la Virgen del Sagrario;109;106;89;2;PEATONAL;0;0; CALLE DE LA VIRGEN DEL SAGRARIO;VIRGEN DEL SAGRARIO;178,18242242500;Calle
Calle de Monse±or Oscar Romero;110;107;90;1;CICLOCALLES;1;0; CALLE DE MONSEÑOR OSCAR ROMERO;MONSEÐOR ROMERO;310,74124472900;Calle
Calle del Padre Amig¾;111;108;91;1;CICLOCALLES;0;1; CALLE DEL PADRE AMIGÓ;PADRE AMIGO;351,44704706900;Calle
Avenida de Nuestra Se±ora de Fßtima;112;109;92;1;CICLOCALLES;1;0; AVENIDA DE NUESTRA SEÑORA DE FÁTIMA;NUESTRA SEÐORA DE FATIMA;157,82985893100;Avenida
Calle de Monse±or Oscar Romero;113;110;93;1;CICLOCALLES;0;1; CALLE DE MONSEÑOR OSCAR ROMERO;MONSEÐOR ROMERO;316,55248649700;Calle
Calle de la Batalla de Torrijos;114;111;94;1;CICLOCALLES;-1;0; CALLE DE LA BATALLA DE TORRIJOS;BATALLA DE TORRIJOS;168,41207748100;Calle
Calle de Francisco Romero;115;112;94;1;CICLOCALLES;-1;0; CALLE DE FRANCISCO ROMERO;FRANCISCO ROMERO;120,02108845700;Calle
Calle de Antonio Antoranz;116;113;95;1;CICLOCALLES;-1;0; CALLE DE ANTONIO ANTORANZ;ANTONIO ANTORANZ;199,19503164000;Calle
Calle del Blas¾n;117;114;96;1;CICLOCALLES;-1;0; CALLE DEL BLASÓN;BLASON;359,94282786600;Calle
Plaza de Carabanchel;118;115;96;1;CICLOCALLES;-1;0; PLAZA DE CARABANCHEL;CARABANCHEL;115,41342371600;Plaza
Calle de la Sombra;119;116;97;1;CICLOCALLES;-1;0; CALLE DE LA SOMBRA;SOMBRA;96,95473449230;Calle
