nombreOriginal;COD_VIA;VIA_CLASE;VIA_PAR;VIA_NOMBRE;VIA_NOMBRE_ACENTOS;DISTRITO;IMPAR_MIN;IMPAR_MAX;PAR_MIN;PAR_MAX;tipoVia;palabrasClave
AHILLONES;11450;PASAJE;DE; AHILLONES;AHILLONES;16;;;2;4;;AHILLONES
AHONES;11500;AVENIDA;DE LOS; AHONES;AHONES;16;1;21;2;22;;AHONES
AHORRO;11550;PLAZA;DEL; AHORRO;AHORRO;17;;;6;6;;AHORRO
AHUMAOS;31000677;CALLE;DE LOS; AHUMAOS;AHUMAOS;19;15;39;14;24;;AHUMAOS
AILANTO;11800;CALLE;DEL; AILANTO;AILANTO;6;1;41;12;54;;AILANTO
AINSA;915;CALLE;DE; AINSA;AÍNSA;20;1;31;2;30;;AINSA
AIRE;2734;CALLE;DEL; AIRE;AIRE;21;9;87;2;56;;AIRE
AIZGORRI;11900;CALLE;DE; AIZGORRI;AIZGORRI;4;1;13;2;14;;AIZGORRI
AJALVIR;12000;CALLE;DE; AJALVIR;AJALVIR;9;1;5;2;10;;AJALVIR
AJENJO;775601;CALLE;DEL; AJENJO;AJENJO;9;1;13;2;8;;AJENJO
AJOFRIN;12300;CALLE;DE; AJOFRIN;AJOFRÍN;20;;;2;30;;AJOFRIN
AJOFRIN;12300;CALLE;DE; AJOFRIN;AJOFRÍN;20;;;2;30;;AJOFRIN
ALABARDEROS;12350;PASEO;DE LOS; ALABARDEROS;ALABARDEROS;10;3;3;2;48;;ALABARDEROS
ALABASTRO;2313;CALLE;DEL; ALABASTRO;ALABASTRO;2;5;5;6;6;;ALABASTRO
ALADIERNA;12400;CALLE;DE LA; ALADIERNA;ALADIERNA;17;1;11;2;18;;ALADIERNA
ALAGON;12500;CALLE;DE; ALAGON;ALAGÓN;21;1;31;2;26;;ALAGON
ALAJATE;12600;CALLE;DE; ALAJATE;ALAJATE;12;1;9;;;;ALAJATE
ALAMBIQUE;12700;CALLE;DEL; ALAMBIQUE;ALAMBIQUE;20;1;7;2;8;;ALAMBIQUE
ALAMEDA;12800;CALLE;DE LA; ALAMEDA;ALAMEDA;1;1;17;2;26;;ALAMEDA
ALAMEDA DE LA FUENTE;31000371;CALLE;DE LA; ALAMEDA DE LA FUENTE;ALAMEDA DE LA FUENTE;19;1;9;;;;ALAMEDA FUENTE
ALAMEDA DE LA FUENTE;31000371;CALLE;DE LA; ALAMEDA DE LA FUENTE;ALAMEDA DE LA FUENTE;21;;;;;;ALAMEDA FUENTE
ALAMEDA DE OSUNA;13000;PASEO;DE LA; ALAMEDA DE OSUNA;ALAMEDA DE OSUNA;16;;;2;2;;ALAMEDA OSUNA
ALAMEDA DE OSUNA;13000;PASEO;DE LA; ALAMEDA DE OSUNA;ALAMEDA DE OSUNA;21;25;179;8;80;;ALAMEDA OSUNA
ALAMEDA DEL VALLE;31000506;CALLE;DE; ALAMEDA DEL VALLE;ALAMEDA DEL VALLE;18;9;91;14;68;;ALAMEDA VALLE
ALAMEDILLA;13200;CALLE;DE; ALAMEDILLA;ALAMEDILLA;2;1;33;16;30;;ALAMEDILLA
ALAMEDILLAS;1189;PASEO;DE LAS; ALAMEDILLAS;ALAMEDILLAS;8;1;5;2;10;;ALAMEDILLAS
ALAMILLO;13400;CALLE;DEL; ALAMILLO;ALAMILLO;1;1;1;2;2;;ALAMILLO
ALAMILLO;13500;PLAZA;DEL; ALAMILLO;ALAMILLO;1;1;11;2;10;;ALAMILLO
ALAMO;13600;CALLE;DEL; ALAMO;ÁLAMO;1;1;9;2;12;;ALAMO
ALAMO NEGRO;1978;PUENTE;DEL; ALAMO NEGRO;ÁLAMO NEGRO;9;;;;;;ALAMO NEGRO
ALAMO NEGRO;1978;PUENTE;DEL; ALAMO NEGRO;ÁLAMO NEGRO;9;;;;;;ALAMO NEGRO
ALAN TURING;31001239;CALLE;DE; ALAN TURING;ALAN TURING;13;1;3;;;;ALAN TURING
ALANIS;13900;CALLE;DE; ALANIS;ALANIS;21;1;7;2;8;;ALANIS
ALAR DEL REY;14000;CALLE;DE; ALAR DEL REY;ALAR DEL REY;21;3;41;2;70;;ALAR REY
ALARICO;14100;CALLE;DE; ALARICO;ALARICO;11;1;57;2;56;;ALARICO
ALARO;14200;CALLE;DE; ALARO;ALARÓ;21;1;21;2;20;;ALARO
ALARO;14250;TRAVESÍA;DE; ALARO;ALARÓ;21;1;9;2;12;;ALARO
ALAS;14300;CALLE;DE LAS; ALAS;ALAS;21;19;33;2;30;;ALAS
ALATERNO;14400;CALLE;DEL; ALATERNO;ALATERNO;5;;;4;4;;ALATERNO
ALAVA;14500;CALLE;DE; ALAVA;ÁLAVA;15;1;15;2;20;;ALAVA
ALBA;14600;CALLE;DEL; ALBA;ALBA;16;1;21;2;16;;ALBA
ALBA DE TORMES;14700;CALLE;DE; ALBA DE TORMES;ALBA DE TORMES;11;1;51;2;30;;ALBA TORMES
ALBACETE;14750;CALLE;DE; ALBACETE;ALBACETE;15;1;7;2;12;;ALBACETE
ALBADALEJO;14800;CALLE;DE; ALBADALEJO;ALBADALEJO;20;1;19;2;52;;ALBADALEJO
ALBAHACA;14900;CALLE;DE LA; ALBAHACA;ALBAHACA;16;;;2;12;;ALBAHACA
ALBAICIN;15050;CALLE;DE; ALBAICIN;ALBAICÍN;12;1;19;2;14;;ALBAICIN
ALBAIDA;15100;CALLE;DE; ALBAIDA;ALBAIDA;20;1;3;6;94;;ALBAIDA
ALBALA;15200;CALLE;DE; ALBALA;ALBALÁ;20;3;17;2;20;;ALBALA
ALBALATE DEL ARZOBISPO;15300;CALLE;DE; ALBALATE DEL ARZOBISPO;ALBALATE DEL ARZOBISPO;13;1;13;2;14;;ALBALATE ARZOBISPO
ALBANIA;2455;CALLE;DE; ALBANIA;ALBANIA;20;1;19;2;8;;ALBANIA
ALBAÑILERIA;15400;CALLE;DE LA; ALBAÑILERIA;ALBAÑILERÍA;20;5;15;2;20;;ALBAÑILERIA
ALBARDIN;983;CALLE;DEL; ALBARDIN;ALBARDÍN;12;1;7;2;8;;ALBARDIN
ALBARES DE LA RIBERA;15500;CALLE;DE; ALBARES DE LA RIBERA;ALBARES DE LA RIBERA;11;1;27;2;62;;ALBARES RIBERA
ALBARICOQUE;15600;CALLE;DEL; ALBARICOQUE;ALBARICOQUE;11;1;11;2;2;;ALBARICOQUE
ALBARRACIN;15700;CALLE;DE; ALBARRACIN;ALBARRACÍN;20;1;41;2;60;;ALBARRACIN
ALBASANZ;15800;CALLE;DE; ALBASANZ;ALBASANZ;20;1;81;2;84;;ALBASANZ
ALBATANA;15900;CALLE;DE; ALBATANA;ALBATANA;16;1;5;2;6;;ALBATANA
ALBATROS;16000;CALLE;DEL; ALBATROS;ALBATROS;11;1;23;2;20;;ALBATROS
ALBELDA;16100;CALLE;DE; ALBELDA;ALBELDA;15;1;1;2;6;;ALBELDA
ALBENDIEGO;16200;CALLE;DE; ALBENDIEGO;ALBENDIEGO;6;1;25;2;28;;ALBENDIEGO
ALBENIZ;16300;CALLE;DE; ALBENIZ;ALBÉNIZ;10;1;9;2;12;;ALBENIZ
ALBENTOSA;16400;CALLE;DE; ALBENTOSA;ALBENTOSA;11;;;2;48;;ALBENTOSA
