COD_VIA;nombreOriginal;VIA_CLASE;VIA_PAR;VIA_NOMBRE;VIA_NOMBRE_ACENTOS;DISTRITO;IMPAR_MIN;IMPAR_MAX;PAR_MIN;PAR_MAX;tipoVia;palabrasClave
1126;AEROPUERTO;CAMINO;DEL; AEROPUERTO;AEROPUERTO;21;7;15;6;20;Aeropuerto; 
1006;AFECTO;CALLE;DEL; AFECTO;AFECTO;17;1;15;2;20;;AFECTO
1022;AFLUENTES;CALLE;DE LOS; AFLUENTES;AFLUENTES;17;1;27;2;12;;AFLUENTES
6600;AFUERAS A SAN ROQUE;CALLE;DE; AFUERAS A SAN ROQUE;AFUERAS A SAN ROQUE;8;1;23;2;10;;AFUERAS SAN ROQUE
6700;AFUERAS A VALVERDE;CALLE;DE; AFUERAS A VALVERDE;AFUERAS A VALVERDE;8;1;43;2;56;;AFUERAS VALVERDE
6700;AFUERAS A VALVERDE;CALLE;DE; AFUERAS A VALVERDE;AFUERAS A VALVERDE;8;1;43;2;56;;AFUERAS VALVERDE
1973;AGACHADIZA;PUENTE;DE LA; AGACHADIZA;AGACHADIZA;9;;;;;;AGACHADIZA
6800;AGAMI;CALLE;DE; AGAMI;AGAMI;15;1;1;2;4;;AGAMI
7000;AGASTIA;CALLE;DE; AGASTIA;AGASTIA;15;1;135;2;128;;AGASTIA
7000;AGASTIA;CALLE;DE; AGASTIA;AGASTIA;15;1;135;2;128;;AGASTIA
7000;AGASTIA;CALLE;DE; AGASTIA;AGASTIA;15;1;135;2;128;;AGASTIA
7000;AGASTIA;CALLE;DE; AGASTIA;AGASTIA;15;1;135;2;128;;AGASTIA
7100;AGATA;CALLE;DE; AGATA;ÁGATA;17;1;5;2;4;;AGATA
7200;AGATA;PLAZA;DE; AGATA;ÁGATA;17;1;11;2;8;;AGATA
31001351;AGATHA CHRISTIE;CALLE;DE; AGATHA CHRISTIE;AGATHA CHRISTIE;16;1;269;2;56;;AGATHA CHRISTIE
7300;AGAVE;CALLE;DEL; AGAVE;ÁGAVE;6;1;33;2;24;;AGAVE
2826;AGES;CALLE;DE; AGES;AGÉS;8;1;1;2;4;;AGES
7400;AGILA;CALLE;DE; AGILA;AGILA;10;1;1;2;12;;AGILA
